timestamp,event
2025-10-03T17:48:49.482715,"STARTED: JOB-A58860 on P02 by jason (G=2000g, spool=500.0g)"
2025-10-03T17:48:49.862747,FAILURE(bad_print): Job JOB-A58860 on P02
2025-10-03T17:49:00.787124,ATTENDED(close): P02 Failed -> Idle
2025-10-03T17:49:04.722779,FAILURE(bad_print): Job JOB-24E557 on P01
2025-10-03T17:49:22.297228,ATTENDED(close): P01 Failed -> Idle
2025-10-03T17:49:37.150707,"STARTED: JOB-5D30DC on P01 by jason (G=1000g, spool=680.0g)"
2025-10-03T17:50:44.888379,FAILURE(out_of_spool): Job JOB-5D30DC on P01
2025-10-03T17:50:44.893387,FAILURE(out_of_spool): Job JOB-5D30DC on P01
2025-10-03T17:50:50.484914,SPOOL_REPLACED: P01 -> 1000g
2025-10-03T17:50:50.489720,ATTENDED(replace_spool+continue): P01 resume JOB-5D30DC
2025-10-03T17:51:00.738894,FAILURE(bad_print): Job JOB-5D30DC on P01
2025-10-03T17:51:12.865457,ATTENDED(close): P01 Failed -> Idle
2025-10-03T18:04:55.901812,"STARTED: JOB-887BCF on P01 by jason (G=100g, spool=930.0g)"
2025-10-03T18:05:06.500025,COMPLETED: Job JOB-887BCF on P01
2025-10-03T18:05:09.744116,ATTENDED(close): P01 Completed -> Idle
2025-10-03T19:47:40.144925,"STARTED: JOB-65E670 on P01 by jason (G=100g, spool=830.0g)"
2025-10-03T19:47:45.958945,FAILURE(bad_print): Job JOB-65E670 on P01
2025-10-03T19:47:50.796450,ATTENDED(close): P01 Failed -> Idle
2025-10-03T19:47:58.157972,"STARTED: JOB-103B8E on P01 by jason (G=100g, spool=795.0g)"
2025-10-03T19:48:11.459095,COMPLETED: Job JOB-103B8E on P01
2025-10-03T19:48:16.678486,ATTENDED(close): P01 Completed -> Idle
